,S,X,UC,DC,I,admissions,contacts,N1,D1,colonized_incidence,c_cum,total,total_cum,acq_rate
990,7,9,5,0,0,10,796,0.25,0.041666667,0,560,21,18249,30.68661297
991,8,12,1,0,0,11,726,0.125,0,0,560,21,18270,30.651341
992,8,5,4,0,0,7,624,0.291666667,0,1,561,17,18287,30.67753049
993,10,7,1,0,0,10,635,0.166666667,0.041666667,0,561,18,18305,30.64736411
994,8,7,5,0,0,11,751,0.208333333,0,2,563,20,18325,30.72305593
995,7,9,2,0,0,8,625,0.208333333,0,0,563,18,18343,30.69290738
996,11,8,3,0,0,13,816,0.083333333,0.166666667,0,563,22,18365,30.6561394
997,10,7,2,0,0,8,714,0.333333333,0.041666667,0,563,19,18384,30.62445605
998,8,8,5,0,0,12,810,0.125,0.041666667,2,565,21,18405,30.69817984
999,7,5,4,0,0,6,561,0.041666667,0.041666667,1,566,16,18421,30.72580207
