,S,X,UC,DC,I,admissions,contacts,N1,D1,colonized_incidence,c_cum,total,total_cum,acq_rate
60,7,6,6,0,0,11,645,0.083333333,0,1,36,19,1110,32.43243243
61,8,3,6,0,0,7,634,0.125,0.083333333,0,36,17,1127,31.94321207
62,10,4,6,0,0,11,743,0.125,0,0,36,20,1147,31.38622493
63,6,10,5,0,0,11,759,0.416666667,0,0,36,21,1168,30.82191781
64,3,12,1,0,0,5,559,0.333333333,0,0,36,16,1184,30.40540541
65,7,10,4,0,0,13,755,0.083333333,0,1,37,21,1205,30.70539419
66,8,6,2,0,0,5,580,0,0,0,37,16,1221,30.3030303
67,6,7,3,0,0,8,566,0.083333333,0,1,38,16,1237,30.71948262
68,7,8,1,0,0,8,535,0,0,0,38,16,1253,30.32721468
69,7,12,3,0,0,14,822,0.291666667,0,0,38,22,1275,29.80392157
70,8,11,2,0,0,10,749,0.041666667,0.041666667,0,38,21,1296,29.32098765
71,10,9,1,0,0,9,670,0.416666667,0,0,38,20,1316,28.87537994
72,10,10,2,0,0,12,804,0.083333333,0,0,38,22,1338,28.40059791
73,5,10,1,0,0,5,620,0,0,0,38,16,1354,28.06499261
74,5,10,1,0,0,8,590,0,0,0,38,16,1370,27.73722628
75,4,11,1,0,0,8,608,0.083333333,0,0,38,16,1386,27.41702742
76,8,10,3,0,0,13,748,0.041666667,0.041666667,0,38,21,1407,27.00781805
77,6,13,2,0,0,10,779,0.25,0,0,38,21,1428,26.61064426
78,7,8,4,0,0,8,703,0.208333333,0,2,40,19,1447,27.64340014
79,9,8,2,0,0,9,693,0,0,0,40,19,1466,27.2851296
80,8,12,2,0,0,12,802,0.083333333,0,0,40,22,1488,26.88172043
81,8,8,4,0,0,9,765,0.125,0,0,40,20,1508,26.52519894
82,5,8,2,0,0,5,544,0.083333333,0,0,40,15,1523,26.26395272
83,7,6,2,0,0,7,554,0.125,0,0,40,15,1538,26.00780234
84,10,6,1,0,0,9,609,0.125,0,0,40,17,1555,25.72347267
85,7,11,2,0,0,11,755,0,0.041666667,0,40,20,1575,25.3968254
86,8,7,5,0,0,10,747,0.083333333,0.041666667,0,40,20,1595,25.07836991
87,8,6,6,0,0,10,754,0.208333333,0.041666667,3,43,20,1615,26.625387
88,7,5,3,0,0,5,532,0.541666667,0,1,44,15,1630,26.99386503
89,11,5,4,0,0,12,722,0.25,0,1,45,20,1650,27.27272727
90,11,7,2,0,0,10,708,0.25,0,0,45,20,1670,26.94610778
91,9,10,1,0,0,10,726,0.083333333,0,0,45,20,1690,26.62721893
92,10,9,2,0,0,11,745,0,0,1,46,21,1711,26.88486265
93,8,7,1,0,0,5,574,0,0,0,46,16,1727,26.6357846
94,5,8,2,0,0,7,573,0.25,0.083333333,0,46,15,1742,26.40642939
95,8,11,3,0,0,14,810,0.125,0.083333333,1,47,22,1764,26.64399093
96,7,10,2,0,0,8,702,0.041666667,0,0,47,19,1783,26.3600673
97,9,11,1,0,0,11,763,0.083333333,0,0,47,21,1804,26.05321508
98,5,9,5,0,0,8,691,0.208333333,0.041666667,2,49,19,1823,26.87877126
99,5,8,2,0,0,5,510,0.083333333,0.041666667,0,49,15,1838,26.6594124
100,6,6,4,0,0,8,547,0.125,0,1,50,16,1854,26.96871629
101,11,7,4,0,0,14,785,0.125,0.083333333,1,51,22,1876,27.18550107
102,7,7,5,0,0,8,681,0.166666667,0,0,51,19,1895,26.91292876
103,9,6,6,0,0,11,782,0.333333333,0.083333333,1,52,21,1916,27.13987474
104,4,6,6,0,0,5,530,0.375,0.083333333,0,52,16,1932,26.91511387
105,10,4,5,0,0,11,662,0.333333333,0.083333333,2,54,19,1951,27.67811379
106,8,7,2,0,0,7,607,0.416666667,0.041666667,0,54,17,1968,27.43902439
107,4,8,3,0,0,6,542,0.375,0,1,55,15,1983,27.73575391
108,5,10,3,0,0,10,649,0.083333333,0.041666667,0,55,18,2001,27.48625687
109,11,7,4,0,0,13,823,0.125,0,1,56,22,2023,27.6816609
110,6,9,5,0,0,9,689,0.25,0.125,1,57,20,2043,27.90014684
111,6,11,2,0,0,9,691,0.333333333,0,1,58,19,2062,28.12803104
112,4,11,2,0,0,7,620,0.25,0,0,58,17,2079,27.8980279
113,5,8,3,0,0,7,602,0.166666667,0,1,59,16,2095,28.16229117
114,6,6,3,0,0,7,521,0.083333333,0,0,59,15,2110,27.96208531
115,13,6,2,0,0,13,736,0.041666667,0,1,60,21,2131,28.1557954
116,10,3,1,0,0,3,492,0,0.041666667,0,60,14,2145,27.97202797
117,11,9,2,0,0,15,804,0.041666667,0,1,61,22,2167,28.14951546
118,7,6,3,0,0,5,577,0.25,0.041666667,1,62,16,2183,28.40128264
119,5,8,4,0,0,9,592,0.333333333,0,0,62,17,2200,28.18181818
120,5,9,3,0,0,8,627,0.083333333,0,1,63,17,2217,28.41677943
121,11,5,3,0,0,10,682,0.166666667,0.041666667,0,63,19,2236,28.17531306
122,7,6,3,0,0,6,585,0.166666667,0,1,64,16,2252,28.41918295
123,5,7,5,0,0,9,576,0.166666667,0.041666667,1,65,17,2269,28.64698105
124,9,10,3,0,0,13,796,0,0,0,65,22,2291,28.37189
125,10,4,5,0,0,8,646,0.208333333,0.041666667,3,68,19,2310,29.43722944
126,12,4,2,0,0,8,626,0.083333333,0,0,68,18,2328,29.20962199
127,8,7,3,0,0,9,631,0.375,0,1,69,18,2346,29.41176471
128,6,7,3,0,0,7,603,0.333333333,0,2,71,16,2362,30.0592718
129,7,5,5,0,0,9,618,0.25,0,1,72,17,2379,30.26481715
130,8,3,4,0,0,6,519,0.166666667,0.083333333,0,72,15,2394,30.07518797
131,8,6,5,0,0,11,645,0.375,0.125,1,73,19,2413,30.25279735
132,7,5,6,0,0,8,625,0.375,0.083333333,1,74,18,2431,30.44014809
133,4,7,9,0,0,11,745,0.208333333,0.083333333,5,79,20,2451,32.23174215
134,4,8,7,0,0,9,660,0.208333333,0,1,80,19,2470,32.38866397
135,5,11,6,0,0,12,761,0.25,0,2,82,22,2492,32.90529695
136,4,7,5,0,0,5,590,0,0.041666667,1,83,16,2508,33.09409888
137,5,8,5,0,0,10,649,0.666666667,0.083333333,1,84,18,2526,33.25415677
138,4,8,6,0,0,9,643,0.208333333,0.041666667,3,87,18,2544,34.19811321
139,7,7,5,0,0,10,702,0.25,0,0,87,19,2563,33.94459618
140,10,4,4,0,0,8,654,0.125,0,1,88,18,2581,34.09531189
141,8,7,4,0,0,10,659,0.166666667,0.041666667,0,88,19,2600,33.84615385
142,11,8,3,0,0,12,813,0.166666667,0,1,89,22,2622,33.94355454
143,10,6,3,0,0,8,730,0.25,0,1,90,19,2641,34.07800076
144,5,6,4,0,0,5,552,0.291666667,0.041666667,0,90,15,2656,33.88554217
145,7,6,2,0,0,7,500,0.041666667,0,0,90,15,2671,33.69524523
146,9,6,3,0,0,10,651,0.083333333,0,0,90,18,2689,33.46969134
147,5,11,3,0,0,10,701,0.208333333,0,0,90,19,2708,33.23485968
148,6,13,3,0,0,12,777,0.083333333,0,0,90,22,2730,32.96703297
149,5,9,2,0,0,5,588,0.125,0,0,90,16,2746,32.77494538
150,10,7,3,0,0,12,704,0.25,0,0,90,20,2766,32.53796095
151,8,7,5,0,0,10,743,0.375,0,1,91,20,2786,32.66331658
152,8,7,2,0,0,7,629,0.083333333,0,0,91,17,2803,32.46521584
153,6,9,1,0,0,8,578,0.083333333,0,0,91,16,2819,32.28095069
154,10,10,2,0,0,14,777,0.041666667,0,1,92,22,2841,32.38296375
155,5,9,1,0,0,4,535,0.041666667,0,0,92,15,2856,32.21288515
156,8,7,4,0,0,12,677,0.208333333,0.083333333,2,94,19,2875,32.69565217
157,4,7,3,0,0,5,474,0.125,0.083333333,2,96,14,2889,33.22949117
158,9,5,3,0,0,10,626,0.041666667,0,1,97,17,2906,33.37921542
159,9,3,3,0,0,7,560,0.041666667,0.041666667,2,99,15,2921,33.89250257
160,12,7,3,0,0,15,750,0.083333333,0,1,100,22,2943,33.97893306
161,9,3,3,0,0,4,506,0.083333333,0,1,101,15,2958,34.14469236
162,12,9,1,0,0,15,765,0.25,0.041666667,0,101,22,2980,33.89261745
163,7,6,2,0,0,4,530,0.083333333,0.041666667,1,102,15,2995,34.05676127
164,10,9,3,0,0,15,805,0.25,0.041666667,0,102,22,3017,33.80841896
165,7,11,0,0,0,7,653,0.041666667,0,0,102,18,3035,33.60790774
166,7,8,2,0,0,8,614,0.041666667,0,1,103,17,3052,33.74836173
167,7,7,4,0,0,10,657,0.208333333,0,1,104,18,3070,33.8762215
168,4,8,4,0,0,7,597,0.208333333,0.041666667,1,105,16,3086,34.02462735
169,7,10,5,0,0,14,839,0.083333333,0.041666667,0,105,22,3108,33.78378378
170,9,10,3,0,0,11,788,0.166666667,0,2,107,22,3130,34.18530351
171,13,5,2,0,0,9,700,0.125,0.041666667,0,107,20,3150,33.96825397
172,9,7,6,0,0,12,818,0.375,0.041666667,1,108,22,3172,34.04791929
173,8,2,6,0,0,5,540,0.5,0.041666667,1,109,16,3188,34.19071518
174,6,8,5,0,0,11,638,0.125,0.041666667,1,110,19,3207,34.29996882
175,7,10,4,0,0,12,820,0.5,0.041666667,1,111,21,3228,34.3866171
176,6,8,2,0,0,6,557,0.25,0.041666667,0,111,16,3244,34.21701603
177,8,12,2,0,0,14,780,0.041666667,0,1,112,22,3266,34.2927128
178,6,6,3,0,0,4,515,0.208333333,0.041666667,2,114,15,3281,34.74550442
179,11,8,3,0,0,15,797,0.125,0,0,114,22,3303,34.51407811
180,5,8,3,0,0,5,587,0.333333333,0,1,115,16,3319,34.64899066
181,10,9,2,0,0,13,764,0.041666667,0,0,115,21,3340,34.43113772
182,6,10,3,0,0,9,640,0.125,0,0,115,19,3359,34.23637987
183,7,7,1,0,0,6,543,0.583333333,0,0,115,15,3374,34.08417309
184,9,9,3,0,0,14,750,0.333333333,0.125,2,117,21,3395,34.46244477
185,9,10,2,0,0,11,722,0.083333333,0,0,117,21,3416,34.25058548
186,6,7,4,0,0,7,604,0.166666667,0.041666667,3,120,17,3433,34.95484999
187,8,6,1,0,0,7,553,0,0,0,120,15,3448,34.80278422
188,9,7,1,0,0,10,631,0,0.083333333,0,120,17,3465,34.63203463
189,9,5,1,0,0,7,529,0.041666667,0,0,120,15,3480,34.48275862
190,10,8,4,0,0,15,814,0.125,0.041666667,1,121,22,3502,34.55168475
191,11,6,4,0,0,10,736,0.125,0,1,122,21,3523,34.62957707
192,9,6,3,0,0,8,684,0.25,0.041666667,0,122,18,3541,34.4535442
193,8,6,2,0,0,7,557,0.083333333,0.083333333,0,122,16,3557,34.29856621
194,5,8,3,0,0,8,562,0.041666667,0.083333333,0,122,16,3573,34.14497621
195,8,7,5,0,0,12,711,0.208333333,0.083333333,2,124,20,3593,34.51155024
196,7,6,5,0,0,8,647,0,0.083333333,0,124,18,3611,34.33951814
197,8,10,4,0,0,13,807,0.041666667,0.083333333,1,125,22,3633,34.40682631
198,6,7,4,0,0,6,593,0.083333333,0.083333333,2,127,17,3650,34.79452055
199,7,8,5,0,0,12,710,0.041666667,0,1,128,20,3670,34.8773842
200,7,6,5,0,0,8,670,0.166666667,0,0,128,18,3688,34.70715835
201,9,7,2,0,0,9,656,0.083333333,0,0,128,18,3706,34.53858608
202,9,8,1,0,0,9,651,0,0,0,128,18,3724,34.37164339
203,4,13,2,0,0,10,687,0.083333333,0.041666667,0,128,19,3743,34.19716805
204,6,7,4,0,0,8,597,0.083333333,0,0,128,17,3760,34.04255319
205,8,8,3,0,0,11,662,0.291666667,0,0,128,19,3779,33.87139455
206,7,10,3,0,0,11,685,0.166666667,0.083333333,0,128,20,3799,33.69307713
207,6,7,4,0,0,7,610,0.083333333,0,1,129,17,3816,33.80503145
208,5,10,6,0,0,13,770,0.5,0,2,131,21,3837,34.14125619
209,6,12,3,0,0,11,767,0.375,0,0,131,21,3858,33.95541731
210,8,8,3,0,0,9,687,0.291666667,0,0,131,19,3877,33.78901212
211,6,12,0,0,0,9,610,0.083333333,0,0,131,18,3895,33.63286264
212,4,11,2,0,0,8,623,0.208333333,0,0,131,17,3912,33.48670757
213,7,10,1,0,0,10,691,0,0,1,132,18,3930,33.58778626
214,7,10,2,0,0,10,627,0,0,0,132,19,3949,33.42618384
215,5,9,4,0,0,9,638,0.166666667,0,0,132,18,3967,33.27451475
216,10,8,3,0,0,12,699,0.083333333,0.041666667,0,132,21,3988,33.09929789
217,7,6,2,0,0,5,567,0.166666667,0.041666667,0,132,15,4003,32.97526855
218,10,7,2,0,0,12,680,0.041666667,0.041666667,0,132,19,4022,32.81949279
219,11,8,1,0,0,11,738,0.125,0,0,132,20,4042,32.65710045
220,14,6,1,0,0,11,780,0.083333333,0,0,132,21,4063,32.48830913
221,10,2,5,0,0,7,571,0.208333333,0,2,134,17,4080,32.84313725
222,11,6,1,0,0,10,681,0.208333333,0,1,135,18,4098,32.94289898
223,12,6,3,0,0,12,763,0.083333333,0.041666667,1,136,21,4119,33.01772275
224,10,7,3,0,0,10,670,0.083333333,0,1,137,20,4139,33.09978256
225,7,9,3,0,0,9,699,0.291666667,0.041666667,1,138,19,4158,33.18903319
226,7,9,4,0,0,11,730,0.166666667,0.041666667,1,139,20,4178,33.26950694
227,7,7,2,0,0,6,561,0.125,0.041666667,0,139,16,4194,33.14258464
228,12,7,2,0,0,13,754,0.166666667,0,0,139,21,4215,32.97746145
229,6,9,3,0,0,8,632,0.083333333,0,0,139,18,4233,32.83723128
230,3,11,2,0,0,7,599,0.083333333,0,0,139,16,4249,32.71357967
231,5,11,3,0,0,11,668,0.291666667,0,0,139,19,4268,32.56794752
232,10,5,1,0,0,7,578,0.166666667,0,0,139,16,4284,32.44631186
233,10,5,1,0,0,8,603,0.041666667,0.041666667,0,139,16,4300,32.3255814
234,10,8,3,0,0,13,779,0.166666667,0.041666667,0,139,21,4321,32.16847952
235,8,6,3,0,0,7,606,0.125,0.041666667,0,139,17,4338,32.04241586
236,5,9,5,0,0,11,699,0.166666667,0,0,139,19,4357,31.90268533
237,5,9,4,0,0,9,687,0.083333333,0,1,140,18,4375,32
238,4,7,5,0,0,7,555,0.125,0,0,140,16,4391,31.88339786
239,8,8,4,0,0,12,701,0.25,0.041666667,0,140,20,4411,31.73883473
240,6,6,5,0,0,7,613,0.208333333,0.083333333,0,140,17,4428,31.61698284
241,7,9,5,0,0,13,757,0.375,0,2,142,21,4449,31.91728478
242,7,5,6,0,0,8,647,0.083333333,0,1,143,18,4467,32.01253638
243,12,2,7,0,0,12,771,0.333333333,0,3,146,21,4488,32.5311943
244,8,3,4,0,0,5,557,0.333333333,0,0,146,15,4503,32.42282922
245,5,6,4,0,0,8,517,0.25,0,1,147,15,4518,32.53652058
246,6,9,3,0,0,11,675,0.041666667,0,0,147,18,4536,32.40740741
247,6,8,4,0,0,9,665,0.083333333,0,1,148,18,4554,32.49890206
248,11,6,2,0,0,10,698,0.083333333,0,0,148,19,4573,32.36387492
249,8,9,3,0,0,11,714,0,0.041666667,0,148,20,4593,32.22294796
250,7,8,1,0,0,6,573,0.125,0.041666667,0,148,16,4609,32.111087
251,6,9,5,0,0,12,709,0.25,0.083333333,3,151,20,4629,32.62043638
252,9,8,4,0,0,11,712,0.375,0,1,152,21,4650,32.68817204
253,4,7,3,0,0,4,530,0.083333333,0,0,152,14,4664,32.59005146
254,3,9,5,0,0,10,630,0.166666667,0.041666667,2,154,17,4681,32.89895322
255,10,9,3,0,0,14,780,0.083333333,0.041666667,0,154,22,4703,32.74505635
256,8,9,5,0,0,11,836,0.375,0.083333333,0,154,22,4725,32.59259259
257,7,11,3,0,0,10,794,0.125,0,0,154,21,4746,32.44837758
258,8,7,4,0,0,9,726,0.458333333,0,0,154,19,4765,32.31899265
259,12,3,5,0,0,11,737,0.166666667,0.041666667,3,157,20,4785,32.81086729
260,7,4,4,0,0,5,554,0.333333333,0.041666667,0,157,15,4800,32.70833333
261,7,9,3,0,0,12,718,0.375,0,0,157,19,4819,32.57937331
262,5,9,1,0,0,6,539,0,0,0,157,15,4834,32.47827886
263,7,7,3,0,0,10,625,0.125,0.041666667,0,157,17,4851,32.36446094
264,8,3,4,0,0,7,539,0.291666667,0.041666667,2,159,15,4866,32.675709
265,9,7,3,0,0,12,716,0.375,0.041666667,0,159,19,4885,32.54861822
266,9,10,2,0,0,12,745,0.083333333,0.041666667,2,161,21,4906,32.81695883
267,6,7,2,0,0,5,569,0.083333333,0.125,0,161,15,4921,32.71692745
268,8,6,5,0,0,12,697,0.166666667,0.083333333,1,162,19,4940,32.79352227
269,14,1,3,0,0,9,680,0.083333333,0.041666667,0,162,18,4958,32.67446551
270,10,5,2,0,0,8,615,0.208333333,0,0,162,17,4975,32.56281407
271,14,4,2,0,0,12,710,0.208333333,0.041666667,1,163,20,4995,32.63263263
272,12,4,3,0,0,9,688,0.083333333,0,1,164,19,5014,32.70841643
273,10,6,6,0,0,13,736,0.333333333,0.083333333,2,166,22,5036,32.96266878
274,9,4,3,0,0,5,595,0.208333333,0.041666667,0,166,16,5052,32.85827395
275,7,8,3,0,0,10,653,0.083333333,0.083333333,1,167,18,5070,32.93885602
276,10,5,2,0,0,8,561,0.041666667,0,0,167,17,5087,32.82877924
277,10,11,1,0,0,14,820,0.125,0.041666667,0,167,22,5109,32.68741437
278,12,9,1,0,0,11,812,0.25,0,1,168,22,5131,32.74215553
279,12,8,0,0,0,9,779,0.125,0.041666667,0,168,20,5151,32.61502621
280,6,9,3,0,0,8,657,0.208333333,0,2,170,18,5169,32.88837299
281,5,10,0,0,0,6,514,0.125,0.041666667,0,170,15,5184,32.79320988
282,6,12,4,0,0,15,836,0.333333333,0.125,2,172,22,5206,33.03880138
283,7,7,3,0,0,6,593,0.041666667,0,1,173,17,5223,33.1227264
284,6,7,2,0,0,7,512,0.25,0.041666667,0,173,15,5238,33.02787323
285,6,10,6,0,0,15,805,0.333333333,0.041666667,0,173,22,5260,32.88973384
286,2,10,6,0,0,7,652,0.166666667,0.041666667,2,175,18,5278,33.15649867
287,4,6,4,0,0,5,483,0.125,0,1,176,14,5292,33.25774754
288,8,6,6,0,0,13,710,0.25,0.041666667,3,179,20,5312,33.69728916
289,10,2,4,0,0,6,559,0.166666667,0.041666667,1,180,16,5328,33.78378378
290,6,6,3,0,0,7,591,0.375,0.041666667,0,180,15,5343,33.6889388
291,8,7,2,0,0,10,623,0.166666667,0.041666667,1,181,17,5360,33.76865672
292,7,7,1,0,0,7,538,0,0,0,181,15,5375,33.6744186
293,12,10,0,0,0,15,754,0,0.041666667,0,181,22,5397,33.53715027
294,8,8,2,0,0,7,607,0.208333333,0.041666667,1,182,18,5415,33.61034164
295,11,8,2,0,0,12,765,0.208333333,0.125,0,182,21,5436,33.48050037
296,8,6,4,0,0,8,653,0.166666667,0.083333333,1,183,18,5454,33.55335534
297,11,6,4,0,0,12,748,0.041666667,0.041666667,0,183,21,5475,33.42465753
298,10,8,3,0,0,11,710,0.166666667,0,0,183,21,5496,33.29694323
299,7,6,5,0,0,8,679,0.25,0,0,183,18,5514,33.1882481
300,7,7,2,0,0,7,553,0.125,0.083333333,0,183,16,5530,33.09222423
301,6,6,4,0,0,8,585,0.25,0,0,183,16,5546,32.99675442
302,8,7,2,0,0,9,615,0.125,0,0,183,17,5563,32.89591947
303,8,5,3,0,0,8,555,0.166666667,0.125,0,183,16,5579,32.80157734
304,10,6,6,0,0,14,800,0.125,0.041666667,3,186,22,5601,33.20835565
305,11,6,4,0,0,10,764,0.25,0.041666667,1,187,21,5622,33.26218428
306,12,5,2,0,0,9,670,0.041666667,0.041666667,0,187,19,5641,33.15015068
307,11,8,3,0,0,13,828,0.166666667,0.041666667,1,188,22,5663,33.19795162
308,7,11,4,0,0,11,775,0.25,0,1,189,22,5685,33.24538259
309,7,13,2,0,0,11,836,0.041666667,0,0,189,22,5707,33.11722446
310,7,10,3,0,0,9,682,0.583333333,0,1,190,20,5727,33.17618299
311,4,8,2,0,0,4,517,0.125,0.041666667,0,190,14,5741,33.09527957
312,10,10,2,0,0,15,790,0.166666667,0.041666667,0,190,22,5763,32.96893979
313,6,7,2,0,0,4,527,0.083333333,0,0,190,15,5778,32.88335064
314,9,11,1,0,0,14,753,0.041666667,0.041666667,0,190,21,5799,32.7642697
315,12,5,1,0,0,8,649,0,0,0,190,18,5817,32.66288465
316,9,11,1,0,0,12,751,0.125,0,0,190,21,5838,32.54539226
317,11,8,3,0,0,12,793,0.125,0.041666667,0,190,22,5860,32.42320819
318,6,7,3,0,0,5,561,0.083333333,0,0,190,16,5876,32.33492172
319,7,5,3,0,0,7,559,0.125,0,1,191,15,5891,32.42233916
320,9,9,2,0,0,13,704,0.25,0.041666667,0,191,20,5911,32.31263746
321,7,9,1,0,0,7,607,0.25,0.083333333,0,191,17,5928,32.21997301
322,7,9,1,0,0,9,633,0.125,0,0,191,17,5945,32.12783852
323,10,8,1,0,0,11,638,0.208333333,0,0,191,19,5964,32.02548625
324,7,10,4,0,0,12,719,0.166666667,0.083333333,1,192,21,5985,32.0802005
325,10,7,5,0,0,12,743,0.166666667,0,0,192,22,6007,31.96271017
326,8,3,4,0,0,4,564,0.458333333,0,0,192,15,6022,31.88309532
327,8,6,4,0,0,11,633,0.083333333,0,0,192,18,6040,31.78807947
328,8,6,4,0,0,9,609,0.083333333,0.125,2,194,18,6058,32.02377022
329,9,4,3,0,0,7,588,0.208333333,0,1,195,16,6074,32.10405005
330,6,7,1,0,0,6,514,0.166666667,0,0,195,14,6088,32.03022339
331,10,6,3,0,0,12,659,0.25,0.041666667,1,196,19,6107,32.094318
332,9,10,3,0,0,13,817,0.208333333,0.041666667,0,196,22,6129,31.97911568
333,7,8,2,0,0,6,605,0.166666667,0,1,197,17,6146,32.05336804
334,8,7,3,0,0,10,659,0.041666667,0,0,197,18,6164,31.95976639
335,10,5,2,0,0,8,626,0.166666667,0,1,198,17,6181,32.03365151
336,13,7,2,0,0,14,759,0.208333333,0.083333333,0,198,22,6203,31.92003869
337,10,5,2,0,0,6,607,0.458333333,0.041666667,1,199,17,6220,31.99356913
